ZL1BYP	Whangaparaoa   36.6344S	174.7422E
AOS:		
Sample	Dif Phase	TEC
330	5.797071	0.8764848
331	0.8074148	0.1220766
332	0.5172296	0.07820223
333	6.239923	0.9434416
334	1.834809	0.2774129
335	6.002649	0.9075671
336	3.600631	0.5443954
337	3.785093	0.5722851
338	5.541965	0.8379142
339	5.978668	0.9039414
340	0.3902211	0.05899926
341	3.814756	0.5767698
342	3.109353	0.4701169
343	3.605248	0.5450934
344	6.200051	0.9374133
345	5.373433	0.8124332
346	3.12009	0.4717402
347	3.360255	0.5080518
348	4.39459	0.6644376
349	4.116145	0.6223382
350	3.003357	0.4540909
351	5.134709	0.7763395
352	5.125938	0.7750133
353	0.6610432	0.09994605
354	6.125958	0.9262108
355	0.785398	0.1187478
356	0.6512666	0.09846788
357	2.89307	0.4374161
358	2.64924	0.4005503
359	0.3868759	0.05849348
360	0.1392856	0.0210592
361	6.202282	0.9377506
362	5.377884	0.8131061
363	3.823199	0.5780464
364	2.51279	0.3799198
365	3.390563	0.5126342
366	2.480551	0.3750454
367	0.6240165	0.09434783
368	1.128884	0.170681
369	3.79444	0.5736982
370	6.056394	0.915693
371	3.79444	0.5736983
372	5.259388	0.7951903
373	0.1613755	0.02439908
374	2.847832	0.4305763
375	3.628493	0.5486079
376	3.532207	0.53405
377	6.168458	0.9326365
378	3.419892	0.5170686
379	5.99236	0.9060115
380	5.579175	0.8435401
381	5.363467	0.8109263
382	9.089142	1.374228
383	3.688382	0.5576628
384	6.224424	0.9410983
385	3.03537	0.458931
386	3.648324	0.5516064
387	5.750574	0.8694547
388	5.245833	0.7931408
389	2.242396	0.3390378
390	2.270265	0.3432514
391	1.942499	0.293695
392	3.23226	0.4886997
393	1.296629	0.1960431
394	0.0850656	0.01286145
395	0.03123331	0.004722303
396	0.3270917	0.04945444
397	6.261913	0.9467664
398	6.141283	0.9285278
399	6.148858	0.9296731
400	2.752635	0.4161832
401	4.035566	0.6101552
402	4.059749	0.6138114
403	1.208252	0.182681
404	0.2996087	0.04529917
405	2.222844	0.3360817
406	3.306735	0.4999599
407	1.024007	0.1548242
